room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
0,10,0,2,0,150
1,2,1,1,125,177
1,3,2,1,0,82
1,5,4,1,52,349
1,7,0,1,124,350
0,1,41,1,67,70
1,3,12,1,167,75
1,4,16,1,206,345
1,4,26,2,92,148
0,3,0,2,23,55
1,1,16,1,47,400
1,3,0,1,0,200
2,4,1,3,334,25
1,1,488,1,269,160
0,1,1,2,314,80
0,1,9,4,55,68
1,2,3,1,17,118
1,1,87,1,0,58
1,5,0,1,0,195
0,1,0,3,363,150
1,1,4,1,0,179
1,2,2,1,89,360
1,5,0,1,325,120
1,5,2,1,0,75
0,3,4,1,0,66
1,2,11,1,59,230
0,2,12,1,36,58
0,4,12,1,172,180
0,3,126,1,230,112
2,3,28,1,248,60
1,5,2,1,71,200
1,2,19,1,184,170
0,5,7,3,342,52
1,1,1,2,347,300
1,1,0,1,0,275
1,2,21,1,70,229
0,1,1,1,0,70
0,3,72,1,67,95
0,1,1,1,0,80
0,1,0,1,0,45
1,4,9,1,0,75
0,2,24,1,294,80
1,1,0,1,57,180
0,1,0,1,0,115
1,5,5,1,0,110
1,4,0,1,0,160
0,1,2,1,0,59
1,2,54,2,1,140
1,2,22,1,3,100
0,1,81,1,0,65
1,1,105,1,258,144
1,3,8,1,188,105
0,3,12,3,75,129
0,3,1,1,0,90
0,1,2,1,60,66
0,4,0,1,88,70
1,7,1,1,16,200
1,2,2,1,0,300
0,1,1,1,0,35
1,5,1,1,0,175
1,2,59,1,19,150
1,2,64,1,72,147
2,2,101,2,42,116
0,1,53,1,0,115
1,1,0,1,0,300
0,5,14,1,0,45
1,7,19,1,171,110
1,2,19,1,0,108
0,2,177,2,245,80
0,3,9,2,0,45
1,1,7,1,2,100
1,2,15,1,0,79
1,5,64,1,329,200
0,2,0,1,0,80
0,2,33,3,44,100
1,1,0,1,0,85
0,1,7,3,0,69
1,3,33,1,166,100
1,2,75,2,237,120
1,1,42,1,133,165
1,6,5,1,105,399
1,1,39,1,270,195
0,1,86,1,117,60
0,2,56,2,365,58
1,4,8,1,126,120
1,3,0,2,324,200
0,3,56,1,50,95
0,1,13,4,153,89
0,4,35,2,89,45
1,2,18,2,145,100
0,3,10,1,91,249
0,1,37,1,97,35
0,1,8,4,192,49
1,1,334,1,269,152
0,1,147,2,165,88
1,3,2,1,1,120
0,2,11,2,58,120
0,1,0,4,70,50
0,3,4,1,180,79
1,3,3,1,8,160
0,2,0,2,346,92
0,2,0,1,0,200
1,8,6,1,0,120
1,3,19,1,244,130
0,2,27,3,346,55
2,1,1,1,0,105
1,7,15,3,69,150
1,1,176,1,252,185
0,2,10,2,0,99
0,3,39,2,300,50
1,3,20,1,217,195
0,3,1,1,0,475
1,2,51,1,33,170
1,2,11,2,0,72
1,2,3,1,12,110
1,5,4,1,9,200
0,2,62,2,57,55
0,2,25,4,0,75
1,4,123,1,101,150
1,2,9,1,0,75
0,4,5,1,0,70
1,1,14,1,336,200
0,2,78,3,82,58
1,4,1,2,0,299
0,1,14,1,364,89
1,4,13,1,13,120
1,7,0,2,153,200
0,2,1,1,0,50
1,2,9,1,140,200
0,2,3,1,94,250
0,3,0,1,88,100
0,2,8,1,0,60
1,2,2,1,146,150
